trial_directory,provider,model,seed,turn,condition,action,policy_regret_ms,latency_ms,success
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131449.746093Z-A-13be6aa6a7ca4249b97cefe7b20d06f9,anthropic,claude-sonnet-5,8,0,A,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131453.093823Z-B-b1192bc716014062916bf9db889c3bc1,anthropic,claude-sonnet-5,8,0,B,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131443.485115Z-C-fc7f21ee7dc042f2ba048947a0f74362,anthropic,claude-sonnet-5,8,0,C,tool_beta,0.0,100.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131456.232697Z-A-bd0446e7da284759aced9b0d6e433671,anthropic,claude-sonnet-5,8,1,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131459.078382Z-B-717ce74ed2404e3db73ce703c0885e38,anthropic,claude-sonnet-5,8,1,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131454.496887Z-C-df0a8bc3a3b1452d8cca31539e574c64,anthropic,claude-sonnet-5,8,1,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131446.880301Z-A-f7d9e41037ea4b22b6665d86b73f522f,anthropic,claude-sonnet-5,8,2,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131445.156552Z-B-4d596c0a89104cdfadc33128dd295d9e,anthropic,claude-sonnet-5,8,2,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131448.351346Z-C-fe987221231a43eeacce79ae9ecb9b63,anthropic,claude-sonnet-5,8,2,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131451.483754Z-A-332bec8d93a24e9c82bd9d0450bae5b5,anthropic,claude-sonnet-5,8,3,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131457.561795Z-B-6593189cc8f24053bf7442a3fc9aeecc,anthropic,claude-sonnet-5,8,3,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131501.017709Z-C-3ecdfda840424418a4aa53f13d9551c6,anthropic,claude-sonnet-5,8,3,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134947.737765Z-A-435cdaa8607b4af7bb8b6cc8b8e66af0,anthropic,claude-sonnet-5,9,0,A,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134939.099604Z-B-2999df0dfb014df983589730c722a5f4,anthropic,claude-sonnet-5,9,0,B,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135000.497137Z-C-d001e11e96704a15b45dd14ce8e02f91,anthropic,claude-sonnet-5,9,0,C,tool_beta,0.0,100.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134935.917123Z-A-2755fbe1f2a7458ba9b2f5ece90c9bc8,anthropic,claude-sonnet-5,9,1,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134932.937666Z-B-088ccd1e385d4dfe97bc29635415eccb,anthropic,claude-sonnet-5,9,1,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135002.153069Z-C-e036fc05d031471a9897c60417f6ef47,anthropic,claude-sonnet-5,9,1,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134934.297286Z-A-41667e40cfa24a0190da8914d8705993,anthropic,claude-sonnet-5,9,2,A,tool_alpha,10978.310000000001,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134949.340417Z-B-b6e655d32ef3447488f20e9e65d4e78c,anthropic,claude-sonnet-5,9,2,B,tool_alpha,10978.310000000001,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134957.630988Z-C-b622c5b7e54941e89a37787c89da9b33,anthropic,claude-sonnet-5,9,2,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135014.731257Z-A-afb3a030a6674bf3a3664c76c7ba6591,anthropic,claude-sonnet-5,9,3,A,tool_alpha,3462.6500000000005,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134946.367254Z-B-bcb56bbca58246619d8d614dac28eb61,anthropic,claude-sonnet-5,9,3,B,tool_alpha,3462.6500000000005,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135007.457745Z-C-0965ad0cf4de44d2a7da3554204c21df,anthropic,claude-sonnet-5,9,3,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135006.127033Z-A-18a3b8aa4db44b69afae571c3bce8eb6,anthropic,claude-sonnet-5,10,0,A,tool_alpha,3413.333333333333,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135004.342973Z-B-e9cc9a447b584914b484fc6904bc30c0,anthropic,claude-sonnet-5,10,0,B,tool_alpha,3413.333333333333,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134953.828225Z-C-edeb6569e16e497894caf618da8123a0,anthropic,claude-sonnet-5,10,0,C,tool_beta,0.0,100.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134931.349318Z-A-d05747c3e42646fc93102151813d1e0b,anthropic,claude-sonnet-5,10,1,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134937.494167Z-B-0f064b468a0c4ad598cd4d42c44b38a7,anthropic,claude-sonnet-5,10,1,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134942.257341Z-C-1d8cf9be83c14ed1a9fe60a43c25decf,anthropic,claude-sonnet-5,10,1,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134958.902093Z-A-2000ed354e21476bb02619122fd93e8a,anthropic,claude-sonnet-5,10,2,A,tool_beta,7389.654444444444,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134940.677805Z-B-e0175df4ec0c4e5cae84e9f4e6ba87d7,anthropic,claude-sonnet-5,10,2,B,tool_alpha,0.0,180.0,True
